"end_lat","end_lng","number_of_members","number_of_casuals","number_of_electric","number_of_classic","number_of_docked","total"
0,0,6,2,1,7,0,8
41.55,-87.3,1,0,1,0,0,1
41.6,-87.61,0,1,1,0,0,1
41.62,-87.54,0,1,1,0,0,1
41.62,-87.53,0,1,1,0,0,1
41.63,-87.62,0,1,1,0,0,1
41.64,-87.7,1,1,2,0,0,2
41.64,-87.61,1,0,1,0,0,1
41.64,-87.54,1,0,1,0,0,1
41.6485007626641,-87.546089887619,18,72,35,55,0,90
41.648501,-87.54609,0,4,0,0,4,4
41.65,-87.62,1,11,12,0,0,12
41.65,-87.61,0,2,2,0,0,2
41.65,-87.6,0,9,9,0,0,9
41.65,-87.59,2,1,3,0,0,3
41.65,-87.56,0,2,2,0,0,2
41.65,-87.55,17,7,24,0,0,24
41.65,-87.54,7,3,9,1,0,10
41.65,-87.53,0,3,3,0,0,3
41.65,-87.52,0,2,2,0,0,2
41.6518678022852,-87.5396713614464,24,64,39,49,0,88
41.651868,-87.539671,0,13,0,0,13,13
41.6566655296737,-87.5988006591797,11,56,24,43,0,67
41.656666,-87.598801,0,8,0,0,8,8
41.658413,-87.610711,0,2,0,0,2,2
41.6584131511011,-87.6107108969882,6,61,18,49,0,67
41.65915,-87.550762,0,28,0,0,28,28
41.6591504275977,-87.550762295723,33,186,69,150,0,219
41.66,-87.69,0,1,1,0,0,1
41.66,-87.68,0,1,1,0,0,1
41.66,-87.66,0,1,1,0,0,1
41.66,-87.65,0,2,2,0,0,2
41.66,-87.64,11,3,14,0,0,14
41.66,-87.63,2,0,2,0,0,2
41.66,-87.62,0,1,1,0,0,1
41.66,-87.61,1,13,14,0,0,14
41.66,-87.6,2,17,19,0,0,19
41.66,-87.56,1,2,3,0,0,3
41.66,-87.55,5,39,44,0,0,44
41.66,-87.54,3,2,5,0,0,5
41.66,-87.53,0,1,1,0,0,1
41.666312,-87.557216,0,14,0,0,14,14
41.6663120082573,-87.5572156906128,4,61,20,45,0,65
41.668696,-87.637113,0,14,0,0,14,14
41.6686963533225,-87.6371133327484,19,73,29,63,0,92
41.67,-87.72,0,1,1,0,0,1
41.67,-87.69,0,2,2,0,0,2
41.67,-87.68,0,5,5,0,0,5
41.67,-87.66,2,2,4,0,0,4
41.67,-87.65,1,7,8,0,0,8
41.67,-87.64,34,8,42,0,0,42
41.67,-87.63,10,31,41,0,0,41
41.67,-87.62,0,11,11,0,0,11
41.67,-87.56,0,2,2,0,0,2
41.67,-87.55,1,0,1,0,0,1
41.67,-87.54,0,2,2,0,0,2
