"member_casual","started_at_day","started_at_month","mean_ride_duration_mins","median_ride_duration_mins","total_ride_durations_mins","na.rm","mean_ride_distance_m","median_ride_distance_m","total_ride_distance_m","total_rides"
"casual",1,"Jan",60.233619825708,12.0085,165883.389,TRUE,2061.29968978102,1622.04,5647961.15000001,2754
"casual",1,"Feb",16.0240582822086,7.7085,20895.372,TRUE,1591.99185242121,1273.09,2071181.4,1304
"casual",1,"Mar",25.790854028436,10.0915,108837.404,TRUE,2025.94525154248,1547.75,8537333.29,4220
"casual",1,"Apr",26.0623634693128,12.6,70915.691,TRUE,2009.18136748986,1576.22,5450909.05,2721
"casual",1,"May",26.1505142356549,14.583,119403.248,TRUE,2289.66675883256,1709.07,10434011.42,4566
"casual",1,"Jun",25.2770083312609,13.383,203277.701000001,TRUE,2231.77700610744,1758.9,17905546.92,8042
"casual",1,"Jul",27.5524765921152,13.733,290733.733,TRUE,2171.30291880586,1682.08,22837764.1,10552
"casual",1,"Aug",27.1302338339591,13.067,260124.682,TRUE,2083.69098338384,1558.09,19938839.02,9588
"casual",1,"Sep",22.0255691622297,11.45,202701.313,TRUE,2175.8889476548,1656.03,19994243.54,9203
"casual",1,"Oct",37.7815455740577,13.483,431087.434999999,TRUE,2298.86247692713,1761.45,26154158.4000001,11410
"casual",1,"Nov",17.2113552131279,9.667,86005.142,TRUE,1985.09418469551,1549.23,9909590.16999999,4997
"casual",1,"Dec",13.8535860349127,7.2,22221.152,TRUE,1606.603659601,1274.405,2576992.27,1604
"casual",2,"Jan",35.4878137566137,10.317,67071.968,TRUE,1805.80762486716,1399.84,3398529.95,1890
"casual",2,"Feb",13.8193284823285,7.65,13294.194,TRUE,1663.94061394381,1281.62,1599046.93,962
"casual",2,"Mar",27.5064672454617,9.683,104552.082,TRUE,1976.42595727848,1458.64,7494607.23,3801
"casual",2,"Apr",22.4120249130939,11.2415,38683.155,TRUE,2007.43656395349,1531.69,3452790.89,1726
"casual",2,"May",23.3668406210393,12.2085,73745.7489999999,TRUE,2205.1335637286,1643.42,6954991.26,3156
"casual",2,"Jun",25.7178370284753,14.017,244756.655,TRUE,2324.81154121486,1823.81,22083384.83,9517
"casual",2,"Jul",37.7619273482097,18.433,654905.106,TRUE,2391.57047586008,1827.98,41362211.38,17343
"casual",2,"Aug",35.0025646870626,13,350095.651999999,TRUE,2150.62684310777,1643.01,21452502.7600001,10002
"casual",2,"Sep",27.4892990814662,12.967,320222.845,TRUE,2171.23061059512,1665.5,25247069.5400001,11649
"casual",2,"Oct",31.6643744274808,12.317,248881.983,TRUE,2201.04059655832,1700.32,17267163.48,7860
"casual",2,"Nov",17.434826367713,9.917,97199.1569999998,TRUE,2070.04334290844,1575.17,11530141.42,5575
"casual",2,"Dec",43.6436434607646,8.217,108454.454,TRUE,1765.57342626263,1430.06,4369794.23,2485
"casual",3,"Jan",20.0634184594032,9.083,28911.386,TRUE,1747.18915100905,1333.29,2510710.81,1441
"casual",3,"Feb",21.4648887323944,7.5085,15240.071,TRUE,1467.90271186441,1191.375,1039275.12,710
"casual",3,"Mar",22.4721941318328,8.567,55910.8189999999,TRUE,1846.06029435484,1412.15,4578229.53000001,2488
"casual",3,"Apr",39.8328264084507,14.525,113125.227,TRUE,2133.42026492406,1639.25,6039712.77,2840
"casual",3,"May",15.6250199275362,9.633,17250.022,TRUE,2012.86675749319,1537.34,2216166.3,1104
"casual",3,"Jun",35.5490598934551,15.317,467114.647,TRUE,2346.81592157461,1833.685,30762063.1,13140
"casual",3,"Jul",35.9257949011089,18.017,628485.856,TRUE,2293.22521489971,1707.66,40016780.0000001,17494
"casual",3,"Aug",30.704399444865,11.217,243363.070000001,TRUE,2025.07784665992,1599.175,16006215.3000001,7926
"casual",3,"Sep",33.5484404160654,15.933,557977.661000002,TRUE,2326.85059610632,1797.07,38604778.2400003,16632
"casual",3,"Oct",23.3594240800286,10.3,130766.056,TRUE,2032.88176828178,1561.21,11369907.7300001,5598
"casual",3,"Nov",25.7616104614412,10.217,163019.471,TRUE,2066.63171179731,1601.86,13050779.26,6328
"casual",3,"Dec",19.2097419519673,8.283,37593.4650000001,TRUE,1702.16104049206,1372.46,3320916.19,1957
"casual",4,"Jan",21.2763338718363,8.233,39510.1519999999,TRUE,1699.80150026983,1330.03,3149732.18,1857
"casual",4,"Feb",42.1455751104566,9.3665,57233.6910000001,TRUE,1765.35698741673,1399.87,2384997.29,1358
"casual",4,"Mar",29.6566823033011,11.083,119486.773,TRUE,2027.53314136126,1577.71,8132435.43000001,4029
"casual",4,"Apr",27.9666083188908,11.9915,64546.932,TRUE,2074.76957465278,1614.48,4780269.1,2308
"casual",4,"May",25.9966627461007,11.733,101672.948,TRUE,2252.50519220912,1716.73,8789275.25999998,3911
"casual",4,"Jun",31.2453967620656,15.1,407221.256,TRUE,2372.37288998232,1863.6,30857454.1800001,13033
"casual",4,"Jul",38.7930119905956,17.367,494998.832999999,TRUE,2094.82828838745,1567.81,26644121,12760
"casual",4,"Aug",23.5225652780546,12.267,236025.419999999,TRUE,2218.77165901836,1667.515,22240967.11,10034
"casual",4,"Sep",38.0811578723406,13.483,357962.883999998,TRUE,2152.97294029691,1620.45,20158285.6400001,9400
"casual",4,"Oct",18.0239471483526,10,107765.18,TRUE,2037.45399397389,1581.955,12171750.16,5979
"casual",4,"Nov",22.2192377850162,9.833,115962.202,TRUE,1942.45154480906,1525.5,10122115,5219
"casual",4,"Dec",27.3924622340425,9.767,51497.829,TRUE,1909.15602776295,1477.14,3575849.24,1880
"casual",5,"Jan",27.271755017301,7.65,39407.686,TRUE,1586.24613462873,1232.9,2285780.68,1445
"casual",5,"Feb",20.1623624161074,10.383,33046.112,TRUE,1879.51037263287,1465.59,3076758.48,1639
"casual",5,"Mar",38.8546254659438,18.733,458639.999000001,TRUE,2421.70899303786,1841.03,28522888.5200001,11804
"casual",5,"Apr",25.821070212766,11.2415,60679.515,TRUE,2144.98412190963,1638.26,5032132.75,2350
"casual",5,"May",27.5355184,10.417,51629.0969999999,TRUE,2159.53130085653,1596.33,4034004.46999999,1875
"casual",5,"Jun",36.2232603940218,16.983,533206.392999998,TRUE,2368.76481092866,1876.39,34766361.1299999,14720
"casual",5,"Jul",30.6673053781926,12.683,249754.535,TRUE,2124.19016750831,1596.45,17246299.9700001,8144
"casual",5,"Aug",36.153880744063,13.833,491728.931999999,TRUE,2260.60864296777,1747.97,30651592.59,13601
"casual",5,"Sep",33.7492288336014,16.1,356763.098000002,TRUE,2181.6238419257,1622.145,23020494.78,10571
"casual",5,"Oct",21.1289794310722,10.583,144839.154,TRUE,2117.69094827586,1631.175,14493476.8500001,6855
"casual",5,"Nov",18.862861586758,9.467,66095.4670000001,TRUE,1814.85112635792,1459.585,6348349.24,3504
"casual",5,"Dec",29.8207245080501,7.3,50009.355,TRUE,1711.11798922801,1292,2859278.16000001,1677
"casual",6,"Jan",33.0820537368746,7.567,53559.8449999999,TRUE,1498.56755417957,1217.9,2420186.6,1619
"casual",6,"Feb",27.499214559387,8.417,43063.77,TRUE,1786.22555982086,1356.99,2791870.55,1566
"casual",6,"Mar",35.9067402381612,10.817,129659.239,TRUE,1904.63051153739,1442.01,6850955.95000001,3611
"casual",6,"Apr",25.2977037887486,11.867,66102.9,TRUE,2123.62563434266,1616.87,5540539.28,2613
"casual",6,"May",20.6165486586007,10.05,39192.059,TRUE,2007.44493670886,1587.59,3806115.59999999,1901
"casual",6,"Jun",22.2460540824916,12.133,105713.249,TRUE,2061.97406322445,1615.43,9784066.93,4752
"casual",6,"Jul",28.4255206964142,12.783,246534.541,TRUE,2165.61959233168,1656.53,18752100.05,8673
"casual",6,"Aug",35.4761719381689,15.3,596709.212000003,TRUE,2322.09772526818,1799.51,38964799.83,16820
"casual",6,"Sep",22.8699743977803,11.317,181336.026999999,TRUE,2135.12159363556,1653.97,16908027.9,7929
"casual",6,"Oct",24.6396154719123,9.95,130269.647,TRUE,2038.16855951478,1600.94,10753377.32,5287
"casual",6,"Nov",39.7430429936306,12.967,249586.31,TRUE,2230.05377916267,1666.49,13955676.55,6280
"casual",6,"Dec",11.6838390568939,7.583,22795.17,TRUE,1767.20049205536,1387.51,3447808.15999999,1951
"casual",7,"Jan",22.5204733619106,8.483,36775.933,TRUE,1688.24330669945,1335.16,2746771.86,1633
"casual",7,"Feb",22.8372659391155,7.95,39759.68,TRUE,1712.42863321799,1366.265,2969351.25,1741
"casual",7,"Mar",23.0687989949749,8.983,59678.983,TRUE,1845.52038744673,1446.03,4763288.12,2587
